Trade_Date,Symbol,Company_Name,Type,Sector,Industry,MarketCapitalization,Beta,P_Open,P_High,P_Low,P_Close,volume,Prev_Close (Price),P_50D_MA,P_200D_MA,V_14D_MA,V_50D_MA,Options,hi_250d,lo_250d,Close_to_Open (% from Prev Day Close),Open_Close (%),High_Close(%),Low_Close(%),Close_to_Close (%),Shares_Out,Shares_Float,Short_Ratio,Short_Percent_Float,Earnings_Date,Shares_Insiders,Shares_Institutions
2025-07-02,TXG,"10x Genomics, Inc.",Common Stock,Healthcare,Health Information Services,1601.973376,1.981,12.07,13.055,11.9,13.01,4041793.0,,10.216,13.185,4678123.64,4130113.62,True,23.49,7.14,,7.787903893951944,0.34588777863182113,-8.53189853958493,,,,,,,,
2025-07-02,YI,"111, Inc.",Common Stock,Healthcare,Medical Distribution,63.619012,0.479,7.085,7.7,7.01,7.34,39936.0,,7.85,8.202,14488.29,12095.14,True,12.3,4.255,,3.5991531404375428,4.90463215258856,-4.49591280653951,,,,,,,,
2025-07-02,YQ,17 Education & Technology Group Inc.,Common Stock,Consumer Staples,Education & Training Services,19.385246,-0.047,2.15,2.19,2.15,2.19,700.0,,2.037,2.011,76307.14,51308.0,True,3.15,1.452,,1.8604651162790715,0.0,-1.8264840182648419,,,,,,,,
2025-07-02,TURN,180 Degree Capital Corp.,Common Stock,Financials,Asset Management,39.9004,0.653,4.03,4.03,3.96,3.99,37303.0,,3.95,3.764,21868.43,24665.76,True,4.2,3.145,,-0.9925558312655095,1.0025062656641612,-0.7518796992481265,,,,,,,,
2025-07-02,ATNF,180 Life Sciences Corp.,Common Stock,Healthcare,Biotechnology,5.11398,0.241,0.9,0.918,0.878,0.8979,29405.0,,0.995,1.459,39871.79,118746.1,False,6.47,0.691,,-0.2333333333333323,2.238556632141665,-2.216282436796974,,,,,,,,
2025-07-02,FLWS,"1-800-FLOWERS.COM, Inc.",Common Stock,Consumer Discretionary,Specialty Retail,348.327968,1.494,5.36,5.55,5.31,5.48,559804.0,,5.239,6.72,593813.07,688037.3,True,11.0,4.49,,2.2388059701492558,1.2773722627737116,-3.1021897810219126,,,,,,,,
2025-07-02,SRCE,1st Source Corporation,Common Stock,Financials,Banks - Regional,1598.799104,0.666,64.36,65.145,63.4,65.09,81606.0,,60.799,59.384,156835.79,104077.38,True,67.232,51.039,,1.134244872591678,0.08449838684896699,-2.59640497772316,,,,,,,,
2025-07-02,DIBS,"1stdibs.Com, Inc.",Common Stock,Consumer Discretionary,Internet Retail,98.131,1.036,2.9,2.94,2.75,2.75,87415.0,,2.728,3.404,324466.07,185569.36,True,4.91,2.38,,-5.172413793103446,6.909090909090907,0.0,,,,,,,,
2025-07-02,SVIX,-1x Short VIX Futures ETF,ETF,ETF-Trading--Inverse Equity,ETF,0.0,0.0,15.51,15.72,15.44,15.59,1912141.0,,15.118,22.469,4724967.21,5429518.82,True,50.73,10.5,,0.515796260477112,0.8338678640153995,-0.9621552277100728,,,,,,,,
2025-07-02,CETH,21Shares Core Ethereum ETF,ETF,ETF-Digital Assets,ETF,0.0,0.0,12.24,13.03,12.23,13.03,513197.0,,12.032,13.113,524099.79,557050.26,False,0.0,0.0,,6.454248366013064,0.0,-6.139677666922479,,,,,,,,
