Symbol,Company Name,Type,Sector,Industry,Options
TXG,"10x Genomics, Inc.",Common Stock,Healthcare,Health Information Services,True
YI,"111, Inc.",Common Stock,Healthcare,Medical Distribution,True
YQ,17 Education & Technology Group Inc.,Common Stock,Consumer Staples,Education & Training Services,True
TURN,180 Degree Capital Corp.,Common Stock,Financials,Asset Management,True
ATNF,180 Life Sciences Corp.,Common Stock,Healthcare,Biotechnology,False
FLWS,"1-800-FLOWERS.COM, Inc.",Common Stock,Consumer Discretionary,Specialty Retail,True
SRCE,1st Source Corporation,Common Stock,Financials,Banks - Regional,True
DIBS,"1stdibs.Com, Inc.",Common Stock,Consumer Discretionary,Internet Retail,True
SVIX,-1x Short VIX Futures ETF,ETF,ETF-Trading--Inverse Equity,ETF,True
CETH,21Shares Core Ethereum ETF,ETF,ETF-Digital Assets,ETF,False
XXII,"22nd Century Group, Inc.",Common Stock,Consumer Staples,Tobacco,True
BITX,2x Bitcoin Strategy ETF,ETF,ETF-Digital Assets,ETF,True
CORX,2x Corn ETF,ETF,,ETF,False
ETHU,2x Ether ETF,ETF,ETF-Digital Assets,ETF,True
UVIX,2x Long VIX Futures ETF,ETF,ETF-Trading--Leveraged Equity,ETF,True
SOLT,2x Solana ETF,ETF,,ETF,False
WHTX,2X Wheat ETF,ETF,,ETF,False
MASK,3 E Network Technology Group Limited,Common Stock,Technology,Software - Application,False
KRKR,36Kr Holdings Inc.,Common Stock,Communication Services,Advertising Agencies,False
SCWO,374Water Inc.,Common Stock,Industrials,Pollution & Treatment Controls,False
PRNT,3D Printing ETF,ETF,ETF-Technology,ETF,True
DDD,3D Systems Corporation,Common Stock,Technology,Computer Hardware,True
EDGF,3EDGE Dynamic Fixed Income ETF,ETF,,ETF,False
EDGH,3EDGE Dynamic Hard Assets ETF,Common Stock,,ETF,False
EDGI,3EDGE Dynamic International Equity ETF,Common Stock,,ETF,False
EDGU,3EDGE Dynamic US Equity ETF,Common Stock,,ETF,False
MMM,3M Company,Common Stock,Industrials,Conglomerates,True
FDMT,"4D Molecular Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,True
